Word,Definition
계기활주로," 계기접근절차를 이용하는 항공기의 운항을 목적으로 운용되는 활주로를 말하며, 다음 각 목의 형태의 활주로를 포함한다. 
가. 비정밀접근활주로(Non-precision approach runway) : 시각지원시설과 직진입에 적합한 방향정보를 제공해주는 항행안전무선시설로 운용되는 계기활주로 
나. CAT-Ⅰ 정밀접근활주로(Precision approach runway, Category Ⅰ) : 결심고도가 60m 이상이고, 시정이 800m 이상이거나 활주로 가시범위가 550m 이상 조건으로 운용되며, ILS 및 시각지원시설을 갖춘 계기활주로 
다. CAT-Ⅱ 정밀접근활주로(Precision approach runway, Category Ⅱ) : 결심고도가 30m 이상 60m 미만이고, 활주로 가시범위가 300m 이상의 조건으로 운용되며, ILS 및 시각지원시설을 갖춘 계기활주로 
라. CAT-Ⅲ 정밀접근활주로(Precision approach runway, Category Ⅲ) : 결심고도가 30m 미만 또는 결심고도 없이 활주로 가시범위 300m 미만 또는 활주로 가시범위 한계가 없이 운용 가능한 계기활주로 ,  계기접근절차를 이용하는 항공기의 운항을 목적으로 운용되는 활주로를 말하며 다음 형태의 활주로를 포함한다. 
가. 비정밀접근 활주로(Non-precision approach runway) : 시각지원시설과 직진입에 적합한 방향정보를 제공해주는 비시각 보조시설로 운용되는 계기활주로 
나. CAT-Ⅰ 정밀접근활주로(Precision approach runway, Category Ⅰ) : 결심고도 60m 이상이고, 시정이 800m 이상이거나 활주로 가시범위가 550m 이상 조건으로 운용되며, CAT-Ⅰ 정밀접근을 지원하는 지상항행안전무선시설 및 시각지원시설을 갖춘 계기활주로 
다. CAT-Ⅱ 정밀접근활주로(Precision approach runway, Category Ⅱ) : 결심고도 30m 이상 60m 미만이고, 활주로 가시범위가 300m 이상의 조건으로 운용되며 CAT-Ⅱ 정밀접근을 지원하는 지상항행안전무선시설 및 시각지원시설을 갖춘 계기활주로 
라. CAT-Ⅲ 정밀접근활주로(Precision approach runway, Category Ⅲ) : 결심고도 30m 미만 또는 결심고도 없이 활주로가시범위 300m 미만 또는 활주로가시범위 한계가 없이 운용 가능한 계기활주로 ,  계기접근 절차를 이용하는 항공기의 운항을 목적으로 운용되는 활주로를 말하며 다음 형태의 활주로를 포함한다. 
가. 비정밀접근활주로(Non-precision approach runway) : 시각지원시설과 직진입에 적합한 방향정보를 제공해주는 비시각 보조시설로 운용되는 계기활주로 
나. CAT-Ⅰ정밀접근활주로(Precision approach runway, Category Ⅰ) : 결심고도 60m이상이고, 시정이 800m 이상이거나 활주로 가시범위가 550m 이상 조건으로 운용되며 계기착륙시설(ILS) 및 시각지원시설을 갖춘 계기활주로 
다. CAT-Ⅱ정밀접근활주로(Precision approach runway, Category Ⅱ) : 결심고도 30m 이상 60m 미만이고, 활주로 가시범위가 300m 이상의 조건으로 운용되며 계기착륙시설(ILS) 및 시각지원시설을 갖춘 계기활주로 
라. CAT-Ⅲ정밀접근활주로(Precision approach runway, Category Ⅲ) : 결심고도 30m 미만 또는 결심고도 없이 활주로가시범위 300m 미만 또는 활주로가시범위 한계가 없이 운용 가능한 계기활주로 ,  계기접근절차를 이용하는 항공기의 운항을 목적으로 운용되는 활주로를 말하며 다음 형태의 활주로를 포함한다. 
가. 비정밀접근 활주로(Non-precision approach runway) : 시각지원시설과 직진입에 적합한 방향정보를 제공해주는 비시각 보조시설로 운용되는 계기활주로 
나. CAT-Ⅰ정밀접근활주로(Precision approach runway, Category Ⅰ) : 결심고도 60m 이상이고, 시정이 800m 이상이거나 활주로 가시범위가 550m 이상 조건으로 운용되며, CAT-Ⅰ정밀접근을 지원하는 지상항행안전무선시설 및 시각지원시설을 갖춘 계기활주로 
다. CAT-Ⅱ정밀접근활주로(Precision approach runway, Category Ⅱ) : 결심고도 30m 이상 60m 미만이고, 활주로 가시범위가 300m 이상의 조건으로 운용되며 CAT-Ⅱ정밀접근을 지원하는 지상항행안전무선시설 및 시각지원시설을 갖춘 계기활주로 
라. CAT-Ⅲ정밀접근활주로(Precision approach runway, Category Ⅲ) : 결심고도 30m 미만 또는 결심고도 없이 활주로가시범위 300m 미만 또는 활주로가시범위 한계가 없이 운용 가능한 계기활주로 ,  계기접근절차를 이용하는 항공기의 운항을 목적으로 운용되는 활주로를 말하며, 다음 각 목의 형태의 활주로를 포함한다. 
가. 비정밀접근활주로(Non-precision approach runway) : 시각지원시설과 직진입에 적합한 방향정보를 제공해주는 비시각 지원시설로 운용되는 계기활주로 
나. CAT-Ⅰ 정밀접근활주로(Precision approach runway, Category Ⅰ) : 결심고도가 60m 이상이고, 시정이 800m 이상이거나 활주로 가시범위가 550m 이상인 조건에서 운용되며 ILS 및 시각지원시설을 갖춘 계기활주로 
다. CAT-Ⅱ 정밀접근활주로(Precision approach runway, Category Ⅱ) : 결심고도가 30m 이상 60m 미만이고, 활주로 가시범위가 300m 이상의 조건에서 운용되며, ILS 및 시각지원시설을 갖춘 계기활주로 
라. CAT-Ⅲ정밀접근활주로(Precision approach runway, Category Ⅲ) : 결심고도 30m 미만 또는 결심고도 없이 활주로 가시범위 300m 미만 또는 활주로 가시범위 한계가 없이 운용 가능한 계기활주로 "
계단통로유도등," 피난통로가 되는 계단이나 경사로에 설치하는 통로유도등으로 바닥면 및 디딤바닥면을 비추는 것을 말한다. ,  피난통로가 되는 계단이나 경사로에 설치하는 통로유도등으로 바닥면 및 디딤 바닥면을 비추는 것을 말한다. "
계란이력번호표시의무자," 다음 각 목의 어느 하나에 해당하는 자를 말한다. 
가. 「축산물 위생관리법」 제22조에 따른 식용란선별포장업의 허가를 받은 자 
나. 「친환경농어업 육성 및 유기식품 등의 관리ㆍ지원에 관한 법률」 제20조에 따른 유기식품등의 인증을 받은 농장 및「동물보호법」 제29조에 따른 동물복지축산농장으로 인증을 받은 농장으로서 직접 판매를 하기 위하여 「축산물위생관리법 시행령」 제21조제7호바목에 따른 식용란수집판매업의 신고를 한 자 
다. 「축산물위생관리법 시행령」 제21조제7호바목에 따른 식용란수집판매업의 신고를 한 자로서 가축사육시설에서 생산한 계란을 직접 판매하기 위해 농림축산식품부장관에게 계란의 이력번호 발급을 신청한 자(사육하는 닭의 수가 1만 마리 이하인 경우만 해당한다) "
계량," 상거래 또는 증명에 사용하기 위하여 어떤 양의 값을 결정하기 위한 일련의 작업을 말한다. ,  상거래 또는 증명에 사용하기 위하여 어떤 양의 값을 결정하기 위한 일련의 작업을 말한다. "
계량기," 오ㆍ폐수 배출유량 및 농도를 측정하기 위하여 배수설비에 부착하는 각종 계기를 말한다. ,  계량을 하기 위한 기계ㆍ기구 또는 장치로서 대통령령으로 정하는 것을 말한다. "
계량설비," 전력량계와 계기용변성기를 조합하여 전기에너지의 생산과 소비를 측정, 기록, 저장하는 설비를 말한다. "
계량측정제도과,Metrology and Measurement Division
계류," 도축 전 도축장 내 및 인근에서 동물을 대기시키는 것을 말한다. ,  선박을 다른 시설에 붙들어 매어 놓는 것을 말한다. ,  선박을 다른 시설에 붙들어 매어놓는 것을 말한다. , 선박을 다른 시설에 붙들어 매어놓는 것을 말한다. ,  선박을 다른 시설에 붙들어 매어 놓는 것을 말한다. ,  선박을 다른 시설에 붙들어 매어 놓는 것을 말한다. ,  선박을 다른 시설에 붙들어 매어 놓는 것을 말한다. "
계류기구, 지표에 잡아맨 기구들 중에서 풍선의 직경이 1.8m 이상이거나 풍선의 가스용량이 3.256㎥를 초과하는 기구를 말한다. 
계류시설," 「선박입출항법」 제2조제9호의 계류를 하기 위한 시설을 말한다. 다만, 정박지와 조선소는 제외한다. ,  「선박입출항법」제2조제9호의 계류를 하기 위한 시설을 말한다. 다만, 정박지와 조선소는 제외한다. ,  「선박의 입항 및 출항 등에 관한 법률」 제2조제9호의 계류를 하기 위한 시설을 말한다. 다만, 정박지와 조선소는 제외한다 ,  요트계류를 위하여 조성한 시설 일체로서 연결잔교, 출입문, 연락교, 해상계류장(요트를 안전하게 메어둘 수 있는 부잔교) 및 부대시설인 급전·급수시설 등을 말한다. ,  「선박의 입항 및 출항 등에 관한 법률」제2조제9호의 계류를 하기 위한 시설을 말한다, 다만, 정박지, 조선소 등은 제외한다. <신설 2019.09.30> "
계류인정구역, 우선피항선 등이 정박하거나 계류할 수 있는 수역으로서 청장이 고시한 장소를 말한다. 
계류장," 공항 내에서 여객 승하기, 화물ㆍ우편물의 적재 및 적하, 급유, 주기, 제빙ㆍ방빙 또는 정비 등의 목적으로 항공기가 이용할 수 있도록 설정된 지역을 말한다. ,  비행장내에서 여객의 승하기, 화물ㆍ우편물의 적재 및 적하, 급유, 주기, 제ㆍ방빙 또는 정비 등의 목적으로 항공기가 이용할 수 있도록 설정된 구역을 말한다. ,  비행장 내에서 여객의 승하기, 화물ㆍ우편물의 적재 및 적하, 급유, 주기, 제ㆍ방빙 또는 정비 등의 목적으로 항공기가 이용할 수 있도록 설정된 구역을 말한다. ,  공항 내에서 여객ㆍ화물ㆍ우편물의 적재, 급유, 주기 또는 정비 등의 목적으로 항공기가 이용할 수 있도록 설정된 구역을 말한다. ,  공항에서 여객의 승하기, 화물ㆍ우편물 적재ㆍ적하, 급유, 주기, 제ㆍ방빙 또는 정비 등의 목적으로 항공기, 경량항공기 또는 초경량비행장치(이하 ""항공기""라 한다)가 이용할 수 있도록 설정된 구역을 말한다. ,  공항내에서 여객 승하기, 화물ㆍ우편물의 적재 및 적하, 급유, 주기, 제ㆍ방빙 또는 정비 등의 목적으로 항공기가 이용할 수 있도록 설정된 구역을 말한다. ,  공항 내에서 여객승·하기, 화물·우편물의 하역, 급유, 주기, 제·방빙 또는 정비 등의 목적으로 항공기가 이용할 수 있도록 설정된 구역을 말한다. ,  비행장 또는 이착륙장에서 여객의 승하기, 화물ㆍ우편물 적재ㆍ적하, 급유, 주기, 제ㆍ방빙 또는 정비 등의 목적으로 항공기, 경량항공기 또는 초경량비행장치가 이용할 수 있도록 설정된 구역을 말한다. ,  공항, 비행장 또는 이착륙장에서 여객의 승하기, 화물ㆍ우편물 적재ㆍ적하, 급유, 주기, 제ㆍ방빙 또는 정비 등의 목적으로 항공기, 경량항공기 또는 초경량비행장치가 이용할 수 있도록 설정된 구역을 말한다. ,  공항 내에서 여객 승하기, 화물ㆍ우편물의 적재 및 적하, 급유, 주기, 제ㆍ방빙 또는 정비 등의 목적으로 항공기가 이용할 수 있도록 설정된 구역을 말한다. ,  공항에서 여객의 승하기, 화물ㆍ우편물 적재ㆍ적하, 급유, 주기, 제ㆍ방빙 또는 정비 등의 목적으로 항공기, 경량항공기 또는 초경량비행장치(이하 ""항공기""라 한다)가 이용할 수 있도록 설정된 구역을 말한다. ,  비행장내에서 여객의 승하기, 화물ㆍ우편물의 적재 및 적하, 급유, 주기, 제ㆍ방빙 또는 정비 등의 목적으로 항공기가 이용할 수 있도록 설정된 구역을 말한다. ,  비행장 또는 이착륙장에서 여객의 승하기, 화물ㆍ우편물 적재ㆍ적하, 급유, 주기, 제ㆍ방빙 또는 정비 등의 목적으로 항공기, 경량항공기 또는 초경량비행장치(이하 공항ㆍ비행장시설에서는 같이 적용한다)가 이용할 수 있도록 설정된 구역을 말한다. ,  비행장에서 여객의 승하기, 화물ㆍ우편물 적재ㆍ적하, 급유, 주기, 제ㆍ방빙 또는 정비 등의 목적으로 항공기가 이용할 수 있도록 설정된 지역을 말한다. "
계류장관제업무, 이동지역 내의 계류장에서 항공기에 대한 지상유도를 담당하는 비행장관제업무를 말한다. 
계면활성제," 친수성과 소수성 부분으로 이루어진 화합물로서 성질이 다른 두 물질이 맞닿을 경우, 표면장력을 크게 감소시켜 세정 등의 작용을 나타내게 하는 물질을 말한다. "
계모, step mother
계산," 미지점의 위치, 표고 및 이와 관련된 모든 요소의 계산결과를 출력하여 성과표 등을 작성하는 작업을 말한다. 
1. 점검계산은 기선벡터의 환폐합차 또는 중복하는 기선 벡터(R)의 교차를 비교하는 방법으로 실시한다. 
2. 환폐합 점검계산은 가능한 한 짧은 노선을 선정하여 실시하며, 신점이 1점밖에 없는 경우는 기지점 간의 관측을 추가하여 폐합차 점검을 실시한다. 
3. 점검계산의 허용범위는 다음 표를 표준으로 한다. 
<img id=""125152679""> 
</img> 
1. 기지점 1점을 고정하는 삼차원망 평균계산을 다음의 방법으로 한다. 
가. 수평 및 높이의 분산을 고정치로서 다음 식에 의해 구한 값으로 한다. 
<img id=""125152681""> 
</img> 
2. 기지점 2점 이상을 고정하는 삼차원망 평균계산을 다음과 같이 실시한다. 
가. 삼차원망 평균계산의 중량(P)은 다음 몇 개의 분산ㆍ공분산 행렬의 역행렬을 이용한다.수평 및 높이의 분산을 고정치로서 다음 식으로 구한 값으로 한다. 
<img id=""125152683""> 
</img> 
나. 기선해석에 의한 분산ㆍ공분산을 세트 내 모든 관측치에서 구할 수 있는 경우는 기선해석으로 구한 값으로 한다. 
다. 3차원망 평균계산에 사용하는 허용범위는 다음의 표를 표준으로 한다. 
<img id=""125152685""> 
</img> ,  관측된 데이터를 계산식 및 프로그램을 이용하여 측량성과를 산출하는 전 과정을 말한다. ,  calculation (calculate)"
계산가격," 「국가를 당사자로 하는 계약에 관한 법률 시행령」 제9조제1항제2호에 따른 원가계산에 의한 가격으로서 총원가에 이윤과 기타 금액을 더한 가격을 말한다. 이 경우 기타 금액은 일반관리비 및 이윤을 제외하고 계산가격에 계상하는 금액으로서 사장품가격, 제세 등이 포함된다. "
계산관리," 우편환, 우편대체, 우체국예금, 우체국보험, 세입·세출금, 기타 세입·세출외 현금의 현금출납증거서에 관한 계산, 검사, 결산 또는 국고금정산을 말한다. "
계산단위," 국제통화기금의 특별인출권(特別引出權)에 상당하는 금액을 말한다. ,  국제통화기금의 특별인출권을 말하고, 계산단위에 대한 한화 표시금액의 산정은 「선박소유자 등의 책임제한절차에 관한 법률」 제11조제2항에 따른다. "
계산서," 증명책임자가 취급한 회계사무의 집행실적을 기간별로 계수로 집계한 서류를 말한다. ,  accounts;bills"
계산서류, accounting document/statement
계산서미발급,에 계산서미발급가산세(공급가액의 2%)를 적용하여 신고·납부하도록 안내한다. 
계산수표, check payable to account
계상,appropriation (appropriate);earmarking (earmark);inclusion (include);counting (count)
계선," 선박이 운항을 중지하고 정박하거나 계류하는 것을 말한다. , 선박이 운항을 중지하고 장기간 정박하거나 계류하는 것을 말한다. "
계선부표," 선박을 해상에 계류시킬 목적으로 설치한 특수부표를 말한다. ,  연안해역 거점감시를 위하여 해양경찰청 소속 경비함정 계선을 목적으로 설치하는 부표를 말한다. "
계선장," 선박입출항법 제7조제1항에 의한 계선선박이 이용할 수 있는 해면으로써 청장이 지정하는 정박지를 말한다. ,  선박입출항법 제7조제1항의 규정에 따라 청장에게 계선신고한 선박이 계류한 장소를 말한다. "
계선표지, 선박이 해상에 부표류를 이용하여 계류할 목적으로 설치한 항로표지시설을 말한다. 
계속거래," 「방문판매 등에 관한 법률」 제2조제10호에서 규정하는 계속거래를 말한다. ,  1개월 이상에 걸쳐 계속적으로 또는 부정기적으로 디지털콘텐츠등을 제공하는 계약으로 중도에 해지할 경우 대금 환급의 제한 또는 위약금에 관한 약정이 있는 거래를 말합니다. ,  「방문판매 등에 관한 법률」 제2조 제10호에 따라 1개월 이상에 걸쳐 계속적으로 또는 부정기적으로 재화 등을 공급하는 계약으로서 중도에 해지할 경우 대금 환급의 제한 또는 위약금에 관한 약정이 있는 거래를 말한다. ,  1개월 이상에 걸쳐 계속적으로 또는 부정기적으로 온라인 서비스 또는 중개 서비스(이하 ""온라인 서비스등""이라 합니다)를 제공하는 계약으로 중도에 해지할 경우 대금 환급의 제한 또는 위약금에 관한 약정이 있는 거래를 말합니다. ,  1개월 이상에 걸쳐 계속적으로 또는 부정기적으로 재화등을 공급하는 계약으로서 중도에 해지할 경우 대금 환급의 제한 또는 위약금에 관한 약정이 있는 거래를 말한다. , <a target='_blank' href=""http://easylaw.go.kr/CSP/CsmMain.laf?csmSeq=556"">계속거래</a> 로 이동"
계속검사, 시행규칙 제20조의9제1항제2호에 따라 고형연료제품 제조시설 및 사용시설의 최초검사 또는 변경검사 이후 정기적으로 받는 검사를 말한다. 
계속고용, continuous employment
계속과제," 장기간에 걸쳐 추진할 필요가 있다고 인정되는 연구개발과제를 말한다. ,  단계평가 등을 통해 계속 수행하기로 확정된 연구개발과제를 말한다. ,  단계평가 등을 통해 계속 수행하기로 확정된 연구개발과제를 말한다. ,  단계평가 등을 통해 계속 수행하기로 확정된 과제를 말한다. ,  전체 연구개발기간이 1년을 초과하는 연구개발과제 중 단계평가 또는 특별평가 등을 통해 계속 수행하기로 확정된 과제를 말한다. ,  단계평가 등을 통해 계속 수행하기로 확정된 연구개발과제를 말한다. ,  단계평가 등을 통해 계속 수행하기로 확정된 연구개발과제를 말한다. ,  단계평가 등을 통해 계속 수행하기로 확정된 연구개발과제를 말한다. ,  연구개발기간이 1년을 초과하는 과제 중 단계평가, 특별평가 등을 통해 계속 수행하기로 확정된 과제를 말한다. , 총 개발기간이 1년을 초과하는 기술개발과제 중 진도점검, 중간 평가 등을 총해 계속수행하기로 확정된 과제를 말한다. ,  총 연구개발기간이 1년을 초과하는 과제 중 중간(진도·단계)평가 등을 통해 계속 수행하기로 확정된 과제를 말한다. ,  전체 연구개발기간이 1년을 초과하는 과제 중 단계평가 등을 통해 계속 수행하기로 확정된 과제를 말한다. ,  연구기간이 1년을 초과하여 연차별로 계획된 연구개발과제를 말한다. ,  총 연구개발기간이 1년을 초과하는 과제 중 중간(진도·단계)평가 등을 통해 계속 수행하기로 확정된 과제를 말한다. ,  총연구기간이 1년을 초과하는 연구과제를 말한다. ,  전체 연구개발기간이 1년을 초과하는 연구개발과제 중 단계평가 또는 특별평가 등을 통해 계속 수행하기로 확정된 연구개발과제를 말한다. ,  총 연구개발기간이 1년을 초과하는 과제 중 중간(진도·단계)평가 등을 통해 계속 수행하기로 확정된 과제를 말한다. ,  총 연구기간이 1년을 초과하는 과제를 말한다. ,  총 연구개발기간이 1년을 초과하는 과제 중 중간(진도·단계)평가 등을 통해 계속 수행하기로 확정된 과제를 말한다. , 총 개발기간이 1년을 초과하는 과제 중 중간(연차·단계)평가 등을 통해 계속 수행하기로 확정된 과제를 말한다. ,  연구기간이 1년을 초과하여 연차별로 계획된 연구개발과제를 말한다. ,  단계평가 등을 통해 계속 수행하기로 확정된 연구개발과제를 말한다. ,  연구기간이 회계연도 기준 2년 이상인 연구개발과제를 말한다. ,  연구기간이 2년 이상인 연구개발과제를 말한다. ,  연구개발기간을 여러 단계로 구분하여 연구개발을 수행하는 과제 중 단계평가를 통해 계속 수행하기로 확정된 과제를 말한다. ,  연구기간이 1년을 초과하여 연차별로 계획된 연구개발과제를 말한다. ,  총 연구개발기간이 1년을 초과하는 과제 중 중간(진도ㆍ단계)평가 등을 통해 계속 수행하기로 확정된 과제를 말한다. "
계속교육, 법 제5조의3에 따른 교육훈련을 말한다. 
계속근로기간," 재직기간에서 휴직기간을 제외한 기간으로, 호봉제 근로자의 기본급 획정을 위한 근무연수 산정 및 퇴직금 산정의 기준이 되는 기간을 의미한다. 단, 다음 각 목의 어느 하나에 해당하는 휴직기간은 계속근로기간에 산입한다. 
가. 업무상 질병 또는 부상으로 인한 휴직기간 
나. 자녀당 최초 1년 이내의 육아휴직기간 
다. 셋째 이후 자녀에 대한 3년 이내의 육아휴직기간 
라. 연간 90일 이내의 가족돌봄휴직기간 "
계속근로연수, years of continuous employment/service
계속기록법, 재고자산의 수불이 행하여질 때마다 그 종류별로 수량ㆍ단가 및 금액을 차례로 기록하는 방법을 말한다. 
계속노역자, 징역형·금고형 또는 구류형을 마친 다음에 계속해서 노역장에 유치된 사람을 말한다. 
계속등기, registration of continuation
계속보험료, continuous/running insurance premium
계속비대형공사," 공사비가 계속비예산으로 계상된 대형공사를 말한다. ,  공사비가 계속비 예산으로 반영된 대형공사를 말한다. "
계속사업," 회계연도를 달리하더라도 사업내용, 범위, 사업자(도급 및 하도급)의 변동이 없는 사업을 말한다. ,  동일사업이 2개년도 이상에 걸쳐 계속하여 진행되는 사업을 말한다. ,  동일사업이 2개년도 이상에 걸쳐 계속 하여 진행되는 사업을 말한다. ,  총 국제개발협력사업 수행기간이 1년을 초과하는 사업 중 차수를 나누어 수행하는 사업을 말한다. ,  총 수행기간이 1년을 초과하는 사업 중 연차평가를 통해 계속 수행하기로 확정된 사업을 말한다. ,  수행기간이 1년을 초과하는 사업 중 연차 평가 등을 통해 계속 수행하기로 확정된 사업을 말한다. "
계속사용, continuous use
계속연구, 연구기간이 1년을 초과하여 추진되는 연구업무를 말한다. 
계속운전, 「원자력안전법 시행령」제36조제4항에 따라 발전용원자로운영자가 원자로시설의 설계수명기간이 만료된 후에 그 시설을 계속하여 운전하는 경우를 말한다. 
계속중, pending;during the pendency of action
계수," 각 비목군에 해당하는 산출내역서상의 금액(예정조정기준일전에 이행이 완료되어야 할 부분에 해당되는 금액은 제외한다)이 동 내역서상의 재료비, 노무비 및 경비의 합계액(예정조정기준일전에 이행이 완료되어야 할 부분에 해당되는 금액은 제외한다)에서 각각 차지하는 비율(이하 ""가중치""라 한다)을 말한다. ,  ""A, B, C, D, E, F, G, H, J, J, K, L, M, ㆍㆍㆍㆍㆍ Z""의 각 비목군에 해당하는 산출내역서상의 금액(예정조정기준일전에 이행이 완료되어야 할 부분에 해당되는 금액은 제외한다)이 동 내역서상의 재료비, 노무비 및 경비의 합계액(예정조정기준일전에 이행이 완료되어야 할 부분에 해당되는 금액은 제외한다)에서 각각 차지하는 비율(이하 ""가중치""라 한다)로서 이하 ""a, b, c, d, e, f, g, h, i, j, k, l, m,  ㆍㆍㆍㆍㆍ z""로 표시한다. ,  calculation;counting;computation,  coefficient"
계약관," ""조달청 회계직 공무원 임명규정""에 명시된 조달물자계약관을 말한다. ,  「국가계약법」제6조 및 같은 법 시행규칙(이하 ""「국가계약법 시행규칙」”이라 한다) 제2조제1호에 따라 계약에 관한 사무를 담당하는 공무원(대리계약관·분임계약관 및 대리분임계약관을 포함한다)으로 『조달청 회계직 공무원 임명규정』에 명시된 조달물자 계약관을 말한다. "
계약관계, contractual relationship
계약관리본부,Contract Management Agency
계약금, contract deposit
계약금액," 사업별 전체 사업기간에 대한 계약금액을 말한다. 다만, 장기계속계약의 경우 연차별 계약금액을 적용한다. ,  확정계약의 경우에는 계약을 체결할 때 예정가격에 기초하여 계약당사자가 합의하여 정하는 금액을 말하고, 개산계약(槪算契約)의 경우에는 계약이행 중 또는 계약이행 후에 산정된 실제발생원가에 기초하여 결정된 금액을 말한다. ,  계약이행을 담보하기 위하여 카탈로그 계약상대자가 제시한 가격과 구매예상 수량을 기준으로 산정한 금액을 말한다. ,  계약이행을 담보하기 위하여 카탈로그 계약상대자가 제시한 가격과 구매예상 수량을 기준으로 산정한 금액을 말한다. "
계약기간," 사업개시일부터 종료일까지를 말한다. 다만, 장기계속계약의 경우 연차별 계약기간을 적용하고, 하자보수 기간에 발생한 장애는 하자보수계획서에 명시된 하자보수 기간을 계약기간으로 적용한다. ,  period/term of a contract"
계약내용, contents of a contract
계약농가, 계열화사업자와 계약을 체결하고 가축을 사육하여 계열화사업자에게 가축 또는 가축으로부터 생산된 축산물을 출하하는 자를 말한다. 
계약단가, 계약금액 산출내역서상의 품목 또는 비목의 단가를 말한다. 
